201000004,남수원전화국.중부일보,5,N,수원시,4111300000,202132.1351,418000.5148,12701.444,3715.68,1,2237
201000005,남수원전화국.중부일보,5,N,수원시,4111300000,202231.1321,418136.5153,12701.509,3715.735,1,2238
201000006,권선사거리.SK뷰아파트,5,N,수원시,4111300000,202100.1392,417758.5162,12701.418,3715.534,1,2235
201000007,세권사거리,5,N,수원시,4111300000,201952.146,417402.5167,12701.321,3715.344,1,2227
201000008,한양아파트,5,N,수원시,4111300000,201822.152,417092.5171,12701.233,3715.174,1,2217
201000009,수원버스터미널,5,N,수원시,4111300000,201728.1563,416869.5173,12701.169,3715.055,1,2214
201000010,권선중학교,5,N,수원시,4111300000,201628.1606,416648.5175,12701.111,3714.943,1,2210
201000011,공군관사,5,N,수원시,4111300000,201585.1695,416113.5211,12701.078,3714.645,1,2207
201000012,권선동,5,N,수원시,4111300000,201794.1817,415240.5313,12701.217,3714.173,1,2216
201000013,곡반정동입구,5,N,수원시,4111300000,201932.1859,414911.5361,12701.31,3714,1,2226
201000040,비상할주로.곡반정동버스종점,5,N,수원시,4111300000,201903.1867,414873.536,12701.282,3713.98,1,2225
201000041,공군관사,5,N,수원시,4111300000,201533.1722,415964.5214,12701.035,3714.574,1,2206
201000042,권선중학교,5,N,수원시,4111300000,201577.1613,416631.5168,12701.067,3714.932,1,2208
201000043,수원버스터미널,5,N,수원시,4111300000,201685.1562,416894.5164,12701.142,3715.085,1,2213
201000044,신곡동,1,N,수원시,4111300000,201112.1643,416671.5091,12700.746,3714.957,1,2185
201000045,세류사거리,2,N,수원시,4111300000,200882.157,417245.5009,12700.585,3715.267,1,2175
201000046,새터마을,2,N,수원시,4111300000,200761.1565,417331.4982,12700.509,3715.314,1,2173
201000047,아세아시멘트,5,N,수원시,4111300000,200476.1529,417703.4908,12700.317,3715.516,1,2166
201000048,아세아시멘트,2,N,수원시,4111300000,200492.1525,417717.4909,12700.336,3715.518,1,2165
201000049,새터마을,2,N,수원시,4111300000,200752.1559,417376.4978,12700.508,3715.335,1,2174
201000050,세류사거리,5,N,수원시,4111300000,200907.1564,417267.5011,12700.608,3715.277,1,2176
201000051,신곡동,1,N,수원시,4111300000,201113.1633,416732.5086,12700.758,3714.972,1,2184
201000052,세류역,1,N,수원시,4111300000,201296.1714,416137.5163,12700.882,3714.656,1,2193
201000118,선일초등학교,2,N,수원시,4111300000,202529.1563,416475.5332,12701.71,3714.845,1,2252
201000190,세류사거리,5,N,수원시,4111300000,201006.1599,416998.5048,12700.663,3715.183,1,2179
201000191,수원순복음교회,5,N,수원시,4111300000,203273.1539,416255.5468,12702.207,3714.725,1,2269
201000192,수원버스터미널,2,N,수원시,4111300000,201926.1582,416648.5222,12701.286,3714.94,1,2224
201000193,남수원초등학교,2,N,수원시,4111300000,201470.1588,416837.5135,12700.976,3715.052,1,2200
201000194,세류2동주민센터,2,N,수원시,4111300000,201126.1577,417075.5061,12700.747,3715.177,1,2183
201000196,남수원초등학교,2,N,수원시,4111300000,201484.1581,416874.5134,12701.01,3715.059,1,2201
201000197,수원버스터미널,2,N,수원시,4111300000,201749.1583,416735.5187,12701.186,3714.99,1,2215
201000198,이마트,2,N,수원시,4111300000,202032.1573,416655.5239,12701.38,3714.944,1,2232
201000199,선일초등학교,5,N,수원시,4111300000,202593.1555,416489.5341,12701.754,3714.855,1,2256
201000200,곡반초등학교,2,N,수원시,4111300000,203253.1532,416313.5461,12702.202,3714.761,1,2270
201000201,세류2동.세류역환승주차장,5,N,수원시,4111300000,201352.1752,415871.5193,12700.909,3714.522,1,2196
201000202,비행장입구.세류역,5,N,수원시,4111300000,201270.171,416172.5156,12700.857,3714.692,1,2192
201000203,미영아파트,5,N,수원시,4111300000,201190.1675,416434.5122,12700.804,3714.823,1,2191
201000268,곡반중학교,1,N,수원시,4111300000,203039.1547,416323.5426,12702.046,3714.767,1,2291
201000285,고등동주민센터,5,N,수원시,4111300000,200197.1281,419395.4728,12700.13,3716.426,1,3026
201000286,수원역.AK프라자,2,N,수원시,4111300000,200134.1439,418432.4795,12700.097,3715.892,1,3022
201000297,더블유웨딩시티,5,N,수원시,4111300000,200058.1341,419087.4731,12700.044,3716.267,1,3018
